0.1	4.42159	5.29133
0.2	3.79366	1.55996
0.3	3.41245	3.78848
0.4	2.08712	1.323
0.5	3.6727	3.79986
0.6	2.79563	2.18705
0.7	4.86368	4.87901
0.8	5.5725	5.57425
0.9	5.82662	5.82494
1	5.7796	5.78107
1.1	5.46413	5.46861
1.2	4.8497	4.84892
1.3	3.77434	3.74901
1.4	-0.15253	0.4443
1.5	1.96143	1.82818
1.6	-0.3427	-0.83757
1.7	0.89253	0.67149
1.8	-0.136	-1.7822
1.9	0.50409	-0.14389
2	-0.16312	-2.39489
2.1	-0.07528	-1.04295
2.2	-0.75878	-1.53109
2.3	-0.45952	-1.55385
2.4	-0.38231	-1.24076
2.5	-0.11985	-0.82285
2.6	-0.9278	-0.69978
2.7	-0.52393	-0.50225
2.8	0.20478	-0.32359
2.9	0.27907	-0.27033
3	-0.14148	-0.35917
3.1	-0.4452	-0.53084
3.2	-0.19739	-0.75449
3.3	-0.41117	-1.11272
3.4	-1.16236	-1.81835
3.5	-0.71442	-2.44877
3.6	-0.42876	-2.37741
3.7	-0.42299	-2.04361
3.8	-0.7973	-1.64531
3.9	-1.99925	-1.59787
4	-1.85088	-1.82195
4.1	-1.34015	-2.34549
4.2	-0.79696	-2.69503
4.3	-0.50383	-2.44634
4.4	-0.46366	-2.29132
4.5	-0.64002	-1.99426
4.6	-1.3651	-1.99666
4.7	-1.40657	-2.47274
4.8	-0.74537	-2.72588
4.9	-0.43082	-2.34063
5	-0.0698	-1.69114
5.1	0.09066	-1.22815
5.2	-0.03723	-1.13001
5.3	-0.29282	-1.38487
5.4	-0.33537	-1.76109
5.5	-0.45814	-1.63185
5.6	-0.77982	-1.62279
5.7	-0.60696	-1.76414
5.8	-0.29803	-1.69127
5.9	-0.12377	-1.60948
6	-0.05646	-1.64185
6.1	-0.0407	-1.77579
6.2	0.04318	-1.97489
6.3	0.15929	-1.88878
6.4	0.19517	-1.49971
6.5	0.11882	-1.20682
6.6	-0.06023	-1.00877
6.7	-0.39354	-0.84638
6.8	-1.19214	-0.73966
6.9	-1.46795	-0.73537
7	-0.68094	-0.86409
7.1	-0.52817	-1.13442
7.2	-0.51374	-1.48479
7.3	-0.40437	-1.68718
7.4	-0.31825	-1.71271
7.5	-0.34152	-1.772
7.6	-0.40315	-1.88067
7.7	-0.41774	-1.94398
7.8	-0.40811	-1.88222
7.9	-0.41976	-1.6862
8	-0.4536	-1.43699
8.1	-0.50463	-1.23962
8.2	-0.60085	-1.15131
8.3	-0.77719	-1.18614
8.4	-0.9887	-1.32046
8.5	-1.01006	-1.47814
8.6	-0.79923	-1.5501
8.7	-0.60173	-1.4914
8.8	-0.52551	-1.36841
8.9	-0.59165	-1.28044
9	-0.78815	-1.28212
9.1	-1.07401	-1.39309
9.2	-1.43071	-1.6356
9.3	-1.93154	-2.07843
9.4	-2.04612	-2.89021
9.5	-1.64009	-2.7478
9.6	-1.47934	-2.28121
9.7	-1.52819	-2.14605
9.8	-1.7044	-2.1834
9.9	-1.90967	-2.30421
10	-2.03764	-2.44136
10.1	-2.03651	-2.5494
10.2	-1.94227	-2.56343
10.3	-1.81149	-2.4187
10.4	-1.69294	-2.19482
10.5	-1.62619	-2.00242
10.6	-1.6198	-1.88025
10.7	-1.65229	-1.837
10.8	-1.70318	-1.88069
10.9	-1.8022	-2.0249
11	-2.03387	-2.30415
11.1	-2.47149	-2.84166
11.2	-2.70793	-4.4594
11.3	-2.46818	-3.21625
11.4	-2.41183	-2.78726
11.5	-2.54114	-2.74989
11.6	-2.75089	-2.95011
11.7	-3.0005	-3.3861
11.8	-3.38651	-4.32108
11.9	-3.18154	-4.30136
12	-2.55703	-3.43315
12.1	-2.24583	-3.0826
12.2	-2.16994	-2.9923
12.3	-2.24021	-3.12519
12.4	-2.32882	-3.41418
12.5	-2.30267	-3.42349
12.6	-2.1758	-3.0894
12.7	-2.05617	-2.8063
12.8	-1.98607	-2.62742
12.9	-1.92799	-2.54652
13	-1.86622	-2.54076
13.1	-1.86314	-2.57912
13.2	-1.97789	-2.65969
13.3	-2.21754	-2.82446
13.4	-2.5308	-3.13622
13.5	-2.86961	-3.71001
13.6	-3.16899	-5.34428
13.7	-3.05304	-4.16674
13.8	-2.82258	-3.66388
13.9	-2.70591	-3.56503
14	-2.62873	-3.72184
14.1	-2.55559	-4.10606
14.2	-2.48008	-4.65155
14.3	-2.38433	-4.50503
14.4	-2.29114	-3.99132
14.5	-2.2267	-3.69892
14.6	-2.18191	-3.56688
14.7	-2.14853	-3.51718
14.8	-2.14953	-3.50543
14.9	-2.22643	-3.5439
15	-2.42308	-3.69158
15.1	-2.78859	-4.00128
15.2	-3.41421	-3.99715
15.3	-3.86059	-3.50385
15.4	-3.12398	-3.17414
15.5	-2.70412	-3.01627
15.6	-2.53453	-2.98886
15.7	-2.55403	-3.08282
15.8	-2.70207	-3.31043
15.9	-2.82524	-3.60942
16	-2.72789	-3.60161
16.1	-2.50769	-3.36024
16.2	-2.32865	-3.20984
16.3	-2.2351	-3.1702
16.4	-2.20898	-3.20661
16.5	-2.20475	-3.27531
16.6	-2.18327	-3.3272
16.7	-2.14757	-3.35766
16.8	-2.14094	-3.41758
16.9	-2.21451	-3.54081
17	-2.40833	-3.67283
17.1	-2.75784	-3.64304
17.2	-3.29877	-3.45807
17.3	-3.51138	-3.30236
17.4	-3.05281	-3.25458
17.5	-2.79424	-3.33138
17.6	-2.75564	-3.54274
17.7	-2.89766	-3.92095
17.8	-3.17988	-4.58087
17.9	-3.48709	-5.50658
18	-3.4733	-4.98272
18.1	-3.22823	-4.95241
18.2	-3.09665	-4.89156
18.3	-3.08666	-4.17656
18.4	-3.03825	-3.66731
18.5	-2.88334	-3.35296
18.6	-2.73062	-3.16799
18.7	-2.60607	-3.08021
18.8	-2.49195	-3.07326
