   1.0000000e+00	   2.3308156e-01	   7.2223025e-03	   1.0338294e+02	   9.4416051e+01	  -1.9757313e+02	
   2.0000000e+00	   9.9143605e-01	   2.4277634e-01	   9.1985794e-02	   8.9064535e-02	   5.6760938e-01	
   3.0000000e+00	   7.7602207e-01	   2.3909415e-01	   2.1553793e+01	   1.9679094e+01	  -4.0695959e+01	
   4.0000000e+00	   9.3408457e-01	   3.5803794e-01	   8.5966812e+00	   7.8927953e+00	  -1.5913430e+01	
   5.0000000e+00	   9.7838202e-01	   5.3915127e-01	   2.2755361e+00	   2.2100745e+00	  -4.0463798e+00	
   6.0000000e+00	   9.5481856e-01	   5.7602347e-01	   3.4730858e-01	   2.1998225e-01	  -1.8849575e-01	
   7.0000000e+00	   9.7953598e-01	   6.2269150e-01	   1.6237258e-01	   8.2230802e-02	   1.1224109e-01	
   8.0000000e+00	   9.8950745e-01	   5.4565300e-01	   7.3342399e-02	   1.4125569e-01	   2.2925637e-01	
   9.0000000e+00	   9.9095778e-01	   4.8898979e-01	   8.1524505e-02	   7.7571374e-02	   3.4287211e-01	
   1.0000000e+01	   9.8462698e-01	   5.2113663e-01	   3.2498687e-01	   2.3895080e-01	  -1.0044732e-01	
   1.1000000e+01	   9.8220112e-01	   6.6022414e-01	   2.4460706e-01	   1.8601758e-01	  -1.0864766e-01	
   1.2000000e+01	   9.9159426e-01	   6.5818126e-01	   1.0109188e+00	   1.0309389e+00	  -1.7084447e+00	
   1.3000000e+01	   9.9037347e-01	   4.6423088e-01	   1.6930842e-01	   1.8268487e-01	   1.7414930e-01	
   1.4000000e+01	   9.9241080e-01	   6.1975504e-01	   2.0994619e-01	   2.1827524e-01	  -5.5565666e-02	
   1.5000000e+01	   9.8874200e-01	   5.9156133e-01	   1.2715360e-01	   9.7454332e-02	   1.7257274e-01	
   1.6000000e+01	   9.9067652e-01	   5.7534866e-01	   2.6620321e-01	   2.6172349e-01	  -1.1259884e-01	
